Tm_C,GC_percent
81.321,46.36
86.400,53.60
82.339,47.66
86.375,53.85
86.541,54.81
86.386,55.99
85.090,52.38
81.030,47.92
83.014,46.61
83.823,51.93
81.957,42.32
81.804,44.89
85.171,51.12
87.071,55.89
85.110,50.59
86.920,54.23
86.151,53.20
86.204,54.35
86.208,53.24
87.187,55.61
86.072,52.84
86.946,54.68
79.518,36.79
85.649,53.44
86.473,54.15
85.383,51.42
83.188,49.55
86.440,53.44
85.423,51.75
80.513,44.86
81.116,45.39
82.282,47.13
84.799,50.40
82.859,46.85
84.264,50.89
87.277,56.07
84.707,51.80
85.257,53.57
86.638,54.70
85.284,52.91
77.798,32.51
86.201,53.64
86.545,53.68
86.427,54.33
84.900,55.56
85.684,51.83
87.068,56.85
85.064,50.99
83.945,49.80
86.152,53.04
86.092,53.54
83.230,49.70
85.736,53.50
86.193,52.76
85.034,50.84
86.582,54.00
84.765,51.30
82.671,48.57
85.306,51.04
84.450,50.32
85.562,51.69
86.010,52.19
82.702,49.45
85.850,51.98
85.459,54.57
82.013,45.86
85.078,51.58
86.293,53.15
85.001,51.04
84.778,52.07
86.626,53.92
87.483,56.00
83.832,51.03
87.090,55.40
85.592,52.38
85.975,54.28
85.996,56.73
83.377,49.72
84.106,47.90
82.531,46.50
83.434,48.19
78.480,40.64
79.609,40.27
86.735,53.78
86.483,54.02
82.270,44.91
85.973,51.89
80.688,48.48
87.538,58.33
84.590,52.38
85.737,53.80
88.149,57.56
84.100,51.82
87.263,57.26
86.166,52.75
84.704,50.64
86.296,53.89
85.423,51.77
85.684,51.95
87.137,55.22
85.804,52.33
85.326,50.82
84.592,51.46
85.969,53.46
80.900,43.18
88.494,58.20
86.193,53.70
86.448,53.83
85.537,51.55
88.845,58.78
89.926,61.14
88.017,57.14
87.615,56.80
86.358,56.37
81.236,43.74
84.152,48.57
81.112,44.08
87.190,57.95
85.781,52.72
82.530,45.43
82.958,46.15
87.080,56.02
86.490,54.69
85.713,53.54
87.252,56.91
88.338,57.85
89.826,61.19
73.781,27.97
83.585,50.00
86.862,55.07
85.490,52.00
84.300,50.72
85.829,53.06
86.494,53.59
82.447,44.92
84.889,50.63
83.943,47.63
85.448,51.38
87.423,56.37
83.028,46.31
85.617,51.86
85.850,52.67
87.429,55.94
87.825,57.22
87.286,56.62
87.488,56.94
87.647,57.02
87.131,57.45
85.799,53.25
83.167,47.88
86.836,54.69
85.364,53.07
84.637,55.87
86.489,54.56
81.929,44.57
81.202,42.14
84.199,47.70
82.737,45.14
83.933,49.61
78.861,36.65
82.954,46.19
85.586,52.30
87.248,55.06
86.088,52.41
81.291,41.42
86.230,53.26
75.103,28.92
88.527,57.97
85.714,54.33
87.869,56.89
86.080,52.80
86.391,54.82
85.490,51.41
81.465,45.35
87.260,55.88
87.367,55.32
86.145,53.01
83.906,47.68
84.807,51.07
82.626,47.70
82.771,50.20
85.768,52.37
80.586,49.02
80.050,47.71
83.776,48.25
86.736,53.99
86.594,54.28
84.284,54.79
87.782,56.23
82.599,44.62
86.281,54.17
87.755,57.40
89.155,60.80
88.220,58.19
86.901,55.38
87.406,56.29
87.335,55.74
86.764,55.24
87.652,57.70
87.137,58.21
87.863,56.79
82.819,52.02
87.058,55.56
86.531,54.18
83.092,46.98
83.890,47.67
79.999,38.65
83.316,47.12
84.203,50.00
86.005,52.51
83.492,49.18
85.004,50.36
85.603,54.50
85.249,51.67
85.219,50.68
86.661,54.95
87.520,58.15
87.380,55.90
87.612,57.21
85.405,55.56
85.169,50.99
84.981,49.97
84.680,50.66
85.298,50.94
82.772,46.52
79.648,43.81
83.429,49.48
86.233,54.12
82.091,50.00
86.229,53.73
82.501,44.65
83.327,47.51
81.290,46.21
84.674,49.59
87.811,57.39
85.586,51.93
86.166,52.73
87.462,58.55
83.535,50.63
84.431,50.33
84.157,49.53
85.699,52.33
84.874,51.55
86.416,53.12
85.064,52.59
82.536,45.34
83.779,47.20
81.192,42.70
83.578,47.88
85.057,50.15
85.029,50.85
84.922,51.10
84.734,50.81
85.513,52.50
84.139,48.73
87.266,55.62
85.308,51.65
84.746,51.92
86.445,54.07
86.581,54.04
87.406,56.29
85.844,52.07
85.838,53.25
86.140,53.15
85.687,52.13
84.020,48.69
87.022,54.80
85.992,52.43
83.148,49.54
83.294,48.55
83.627,48.78
84.952,53.44
84.759,50.59
83.863,49.27
87.075,55.09
85.168,50.68
84.580,48.75
87.126,56.64
88.348,57.80
85.832,53.93
87.522,55.98
87.152,55.26
77.900,50.00
82.436,50.72
89.154,59.55
79.060,37.57
